State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.10896	1.10628	1.10628	1.10701	1.11140	1.11603	1.12334	1.12773	1.12408	1.12042	1.11627	1.11579	1.11383	1.11066	1.10579	1.10676	1.10603	1.10213	1.09482	1.08579	1.08604
2	0.45050	0.45050	0.45032	0.44959	0.44928	0.44886	0.44739	0.44617	0.44703	0.44886	0.45099	0.45324	0.45617	0.45830	0.46171	0.46214	0.46427	0.46701	0.47042	0.47353	0.47688
3	1.27963	1.27021	1.28445	1.28493	1.29410	1.29603	1.30062	1.31317	1.33223	1.36746	1.43309	1.47025	1.52575	1.58487	1.64592	1.70263	1.75692	1.80687	1.85441	1.89688	1.91497
4	4.31171	4.35405	4.36352	4.39827	4.37111	4.34773	4.33572	4.30350	4.27254	4.22073	4.08804	3.96609	3.83088	3.67923	3.52191	3.35826	3.20030	3.04802	2.90965	2.80287	2.72073
5	3.35100	3.32335	3.31329	3.27307	3.33592	3.44904	3.42893	3.49681	3.40379	3.21023	3.03425	3.01163	2.86582	2.75521	2.67728	2.64209	2.51639	2.49126	2.41584	2.31277	2.23233
6	0.91686	0.90362	0.89866	0.89866	0.91024	0.89038	0.88211	0.83908	0.83742	0.90693	0.99961	1.05092	1.11546	1.16676	1.18662	1.21145	1.25448	1.27434	1.29916	1.33392	1.34054
7	0.34422	0.34630	0.33170	0.31710	0.29206	0.28580	0.28163	0.28580	0.28998	0.28789	0.28789	0.28372	0.30458	0.30041	0.32961	0.33378	0.32127	0.34422	0.38177	0.38385	0.37342
8	3.41496	3.41085	3.46433	3.40262	3.45610	3.43142	3.50548	3.48079	3.39439	3.26684	3.13107	3.00352	2.83483	2.74431	2.52625	2.43162	2.50568	2.54270	2.54270	2.62499	2.61676
9	1.52541	1.55723	1.49757	1.53735	1.52740	1.56718	1.61093	1.62684	1.71634	1.71435	1.68054	1.69446	1.65667	1.67656	1.62883	1.70441	1.74219	1.73623	1.73821	1.68651	1.76407
10	3.57582	3.52783	3.39069	3.28784	3.16442	3.07185	2.96557	2.95186	2.89357	2.85586	2.80101	2.82843	2.87300	2.87300	3.01700	2.99985	2.95186	2.90386	2.87643	2.89014	2.87300
