State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.38365	1.36708	1.34211	1.31306	1.27712	1.21815	1.16154	1.11140	1.07782	1.05910	1.05178	1.05178	1.06276	1.08127	1.10860	1.12947	1.15336	1.17316	1.19060	1.20437	1.21858
2	0.48501	0.47904	0.47049	0.45872	0.44737	0.43592	0.42398	0.41715	0.41317	0.41048	0.40774	0.40677	0.40903	0.41011	0.41118	0.41360	0.41629	0.41893	0.42231	0.42608	0.42737
3	1.78908	1.73476	1.62934	1.47939	1.29751	1.07834	0.86515	0.72969	0.66537	0.64875	0.63235	0.62895	0.64130	0.65557	0.67282	0.70349	0.74992	0.80019	0.85812	0.92201	0.96759
4	0.55268	0.52702	0.49300	0.47795	0.46122	0.43222	0.41381	0.40322	0.40935	0.41381	0.43054	0.44281	0.45508	0.47125	0.48799	0.49970	0.50806	0.51420	0.53483	0.57443	0.62072
5	0.97187	0.84983	0.77661	0.71892	0.67898	0.66566	0.66788	0.68341	0.69229	0.74110	0.80989	0.85870	0.88311	0.85870	0.83430	0.83208	0.84983	0.89421	1.07837	1.23148	1.58650
6	1.13502	0.99332	0.89545	0.80488	0.72308	0.66903	0.64128	0.60622	0.60184	0.56094	0.51711	0.51419	0.54779	0.57700	0.59746	0.61791	0.69971	0.83702	1.05906	1.42133	1.74854
7	0.76968	0.67577	0.59844	0.53767	0.52110	0.47875	0.44745	0.43640	0.41798	0.40878	0.38484	0.36643	0.35170	0.33512	0.33328	0.34065	0.37563	0.43087	0.62053	0.84518	1.19503
8	9.46753	9.71447	9.63458	8.77753	7.14332	5.13142	3.24300	2.22253	1.81942	1.61242	1.65600	1.77221	2.06637	3.32289	7.80426	15.44147	22.68284	27.42932	29.22332	29.26690	27.95590
9	3.47748	3.98831	4.80457	5.72617	6.28614	6.47046	5.86660	4.17613	2.86133	3.00176	2.92979	2.04155	1.95729	2.13985	2.42598	2.98596	3.50381	3.89527	3.74079	3.36513	3.03336
10	4.61477	5.62245	7.22627	10.00118	14.46767	20.77099	28.08805	34.99355	39.19980	39.78988	40.31340	41.75381	41.05176	39.07876	34.06455	25.75494	17.38481	11.14504	7.52283	5.27748	4.03376
