State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.33233	0.68618	1.62006	1.24606	1.77265	0.65083	1.19132	0.58160
2	3.74743	0.42956	1.25040	2.26694	0.94180	0.42421	0.55433	0.18780
3	0.78748	0.44715	1.75537	2.22831	1.88104	0.86516	2.36423	0.24940
4	0.51059	1.79400	3.22122	2.17398	3.50041	2.15778	14.72603	0.22995
5	0.82900	48.88825	7.32481	1.45503	3.05355	47.57731	22.35300	0.28042
6	0.65876	0.36265	1.27540	1.01581	1.48322	1.14601	1.64029	0.68858
7	1.27782	4.47454	1.79758	1.06378	2.11979	4.59678	4.91960	0.65182
8	14.98478	0.74120	0.99534	1.05058	1.07554	0.99185	1.20875	1.14073
9	67.97363	0.44444	0.79628	0.86955	0.82349	0.42972	0.50477	1.09474
10	1.89819	2.25973	1.13689	0.74783	0.99835	0.90214	0.78261	0.89148
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
