State (Emission order)	H3K27me3	H2AFZ	H3K9ac	H3K4me2	H3K4me3	H3K27ac	H3K4me1	H3K79me2	H3K9me3
1	3.6615643885212475E-4	0.03119098911382787	0.023735205322540177	5.731481677456025E-5	3.6339602806344565E-36	0.020519690595478646	0.003204414915745558	0.021543202960133404	0.0024633011793002337
2	8.539587267671962E-5	6.776306624337406E-5	0.02351250694838516	0.002447310957481283	3.459282042929578E-4	0.016487901893983234	0.010012208280539654	0.6947857650544854	0.014959709359738005
3	1.2762740209261406E-4	0.0013815020576501888	0.12852525129258202	0.34045494595635173	0.012391137701499607	0.26253516731196697	0.6366493055302724	0.9346002886224216	0.005252102532112101
4	8.328729054173205E-4	0.009674083069786848	0.6529708275132053	0.9986224662981261	0.7883072510800944	0.43713340979266924	0.9835128442790528	0.9635386146648182	0.00513673405224332
5	0.035185683647548906	0.8350634959288749	0.9225086507498815	0.9855508209539685	0.9906709271717448	0.8042136080984492	0.5983646515848867	0.4439138985492222	0.003996131318960592
6	6.355062957723285E-4	0.30625062633276595	0.578811870254185	0.3952754580198997	0.04693805863506653	0.981770223993927	0.9806203261578388	0.06195538546470672	0.01475174429016482
7	0.042087628912832985	0.13188146346827131	0.06651285512373879	0.19701461092177955	0.03795961377256408	0.1504942723021147	0.7556078841178814	0.009871678180950761	0.006924909254275188
8	0.1862478184372913	0.005181310712695	0.009617170403836	1.1410112184153404E-4	1.2204006086107694E-5	4.7932754765908486E-5	4.711436808400328E-4	9.452404836937906E-6	0.001284066022806007
9	0.0037489570051840943	0.0027713956753265185	0.0051376595939172905	1.6969061709937842E-5	8.373708813461138E-10	6.403620931665016E-5	1.3206161243897266E-4	1.1814548934587379E-4	0.003648605203698727
10	0.0028553498792634018	0.01677428605096759	0.004441040043516995	2.699626144425597E-4	0.013479692485611715	0.006274802985973592	0.0014111586838911848	0.007162803272267426	0.45618347085733585
