State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.982082738770912	0.014649222166081449	0.0010640591404954905	0.0	0.0	0.0	0.0	0.0	0.002117458233727172	8.652168878397715E-5
2	0.0037753382227362162	0.9947122303855422	7.629687241609816E-4	0.0	0.0	0.0	0.0	7.962217302017961E-7	7.258223039930976E-4	2.2844141837317296E-5
3	0.0010317922926951113	0.0030779079555834873	0.9720873214014485	0.009310420208725117	0.0	0.001413362190388761	0.0	1.164521673462236E-7	0.012834905321043673	2.441741779478806E-4
4	0.0	0.0	0.02482626261245293	0.9600526419877223	0.012852700277109936	0.0014370255539830946	0.0	7.980370984447519E-5	7.409829161127449E-4	1.058294277440784E-5
5	0.0	0.0	0.0	0.05141240334962122	0.8487086097084644	0.07447216332558405	0.013345864924522966	0.011288792809778297	7.721658820291223E-4	0.0
6	0.0	0.0	0.00979855371982263	0.003976773354769567	0.048447307485130736	0.8864600427355354	0.042089003762206756	0.005721627234156088	0.003473273652180686	3.341805619829161E-5
7	0.0	0.0	0.0	0.0	0.011465053331596937	0.05458058653610894	0.9108708677098233	0.022691569478142028	3.9192294432874525E-4	0.0
8	0.0	0.0	2.834120135262069E-5	8.196603842342429E-4	0.01936811996306293	0.014146640354037917	0.044821607034653654	0.86497600142958	0.012668974401759403	0.043170655231319285
9	0.017557131416117644	0.022431421568699858	0.10610549978592837	0.002236048110456213	7.130719235167916E-4	0.004492311958878085	3.760706185005535E-4	0.0057901958224570995	0.7862972769771843	0.054000971818260975
10	0.001288844125114083	0.001090886139462382	0.0037849116555563056	4.113609622181983E-5	0.0	3.85433765546159E-5	0.0	0.037116459419327646	0.09103204350637616	0.865607175681387
